1;1;02/01/2013;;DEAH RAYA;Syah Kuala;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.04.04.00382;00012/2012;BH 726654;6034/2012;Berkas No. 8753/2012 Selesai
2;2;02/01/2013;;COT MESJID;Lueng Bata;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.06.02.02359;00034/2012;BH 726634;5257/2012;Berkas No. 7612/2012 Selesai
3;3;02/01/2013;;GAMPONG JAWA;Kuta Raja;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.05.03.02056;00019/2013;BH 72683;5628/2012;Berkas No. 8154/2012 Selesai
4;4;02/01/2013;;COT LAM KUWEUH;Meuraxa;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.03.08.00601;00007/2013;BH 726839;2900/2012;Berkas No. 4245/2012 Selesai
5;5;02/01/2013;;ILIE;Ulee Kareng;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.09.04.02397;00069/2013;BH 726845;5557/2012;Berkas No. 8031/2012 Selesai
6;6;02/01/2013;;ILIE;Ulee Kareng;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.09.04.02394;00070/2013;bh 726840;4532/2012;Berkas No. 6602/2012 Selesai
7;7;02/01/2013;;ATEUK PAHLAWAN;Baiturrahman;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.02.01.02229;00019/2013;-;5311/2012;Berkas No. 7670/2012 Selesai
8;8;03/01/2013;;LUENG BATA;Lueng Bata;Roya;01.01.06.01.00191;;AS302473;35/2013;Berkas No. 71/2013 Selesai
9;9;03/01/2013;;PEULANGGAHAN;Kuta Raja;Peralihan Hak - Jual Beli;;;;17/2013;Berkas No. 30/2013 Selesai
10;10;03/01/2013;;BEURAWE;Kuta Alam;Peralihan Hak - Hibah;;;AT384214;36/2013;Berkas No. 72/2013 Selesai
11;11;03/01/2013;;PINEUNG;Syah Kuala;Peralihan Hak - Jual Beli;;;BH686663;23/2013;Berkas No. 48/2013 Selesai
12;12;03/01/2013;;PINEUNG;Syah Kuala;Peralihan Hak - Jual Beli;;;BH686664;22/2013;Berkas No. 47/2013 Selesai
13;13;03/01/2013;;PUNGE BLANG CUT;Jaya Baru;Peralihan Hak - Jual Beli;;;BH686666;21/2013;Berkas No. 46/2013 Selesai
14;14;03/01/2013;;LHONG CUT;Banda Raya;Peralihan Hak - Jual Beli;;;BH686620;20/2013;Berkas No. 38/2013 Selesai
15;15;03/01/2013;;KAMPUNG BARU;Baiturrahman;Peralihan Hak - Jual Beli;;;AY997226;19/2013;Berkas No. 36/2013 Selesai
16;16;03/01/2013;;LAMDINGIN;Kuta Alam;Peralihan Hak - Pembagian Hak Bersama;;;BH686431;18/2013;Berkas No. 35/2013 Selesai
17;17;03/01/2013;;LAMDINGIN;Kuta Alam;Peralihan Hak - Pembagian Hak Bersama;;;989526;26/2013;Berkas No. 10950/2012 Selesai
18;18;03/01/2013;;PEUNAYONG;Kuta Alam;Peralihan Hak - Jual Beli;;;AY651345;25/2013;Berkas No. 11041/2012 Selesai
19;19;03/01/2013;;DEAH BARO;Meuraxa;Peralihan Hak - Jual Beli;;;AY985076;24/2013;Berkas No. 11032/2012 Selesai
20;20;03/01/2013;;ILIE;Ulee Kareng;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.09.04.02399;00071/2013;1;6156/2012;Berkas No. 8903/2012 Selesai
21;21;03/01/2013;;GAMPONG PIE;Meuraxa;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.03.07.00279;00009/2013;1;5251/2012;Berkas No. 7599/2012 Selesai
22;22;04/01/2013;;LAMGUGOB;Syah Kuala;Roya;;;6633935;55/2013;Berkas No. 107/2013 Selesai
23;23;04/01/2013;;LAKSANA;Kuta Alam;Roya;01.01.01.06.;;6547321;54/2013;Berkas No. 105/2013 Selesai
24;24;04/01/2013;;JEULINGKE;Syah Kuala;Roya;01.01.04.01.01294;;AY843433;52/2013;Berkas No. 103/2013 Selesai
25;25;04/01/2013;;BANDAR BARU;Kuta Alam;Roya;;;AL948977;50/2013;Berkas No. 101/2013 Selesai
26;26;04/01/2013;;MULIA;Kuta Alam;Roya;01.01.01.08.;;AY990427;48/2013;Berkas No. 98/2013 Selesai
27;27;04/01/2013;;BEURAWE;Kuta Alam;Roya;01.01.01.03.02330;;BH630681;47/2013;Berkas No. 96/2013 Selesai
28;28;04/01/2013;;PINEUNG;Syah Kuala;Roya;01.01.04.06.;;BC108004;46/2013;Berkas No. 94/2013 Selesai
29;29;04/01/2013;;PEURADA;Syah Kuala;Roya;-;;AT584821;45/2013;Berkas No. 89/2013 Selesai
30;30;04/01/2013;;RUKOH;Syah Kuala;Roya;01.01.04.09.00220;;AT591645;43/2013;Berkas No. 88/2013 Selesai
31;31;04/01/2013;;RUKOH;Syah Kuala;Roya;01.01.04.09.00221;;AT591644;44/2013;Berkas No. 88/2013 Selesai
32;32;04/01/2013;;BATOH;Lueng Bata;Peralihan Hak - Jual Beli;;;BH 672674;69/2013;Berkas No. 121/2013 Selesai
33;33;04/01/2013;;BATOH;Lueng Bata;Peralihan Hak - Jual Beli;;;BH 673728;68/2013;Berkas No. 120/2013 Selesai
34;34;04/01/2013;;PEURADA;Syah Kuala;Peralihan Hak - Jual Beli;;;BH686904;67/2013;Berkas No. 119/2013 Selesai
35;35;04/01/2013;;COT MESJID;Lueng Bata;Peralihan Hak - Jual Beli;;;AT591859;41/2013;Berkas No. 80/2013 Selesai
36;36;04/01/2013;;BLANG OI;Meuraxa;Peralihan Hak - Jual Beli;;;0;63/2013;Berkas No. 116/2013 Selesai
37;37;04/01/2013;;PEUNYEURAT;Banda Raya;Peralihan Hak - Pembagian Hak Bersama;;;BH686423;64/2013;Berkas No. 118/2013 Selesai
38;38;04/01/2013;;MIBO;Banda Raya;Peralihan Hak - Pewarisan;;;AV798653;66/2013;Berkas No. 117/2013 Selesai
39;39;04/01/2013;;GEUCEU KOMPLEK;Banda Raya;Peralihan Hak - Hibah;;;;42/2013;Berkas No. 85/2013 Selesai
40;40;04/01/2013;;GEUCEU KAYEE JATOH;Banda Raya;Peralihan Hak - Pewarisan;;;;65/2013;Berkas No. 10935/2012 Selesai
41;41;04/01/2013;;LAMBUNG;Meuraxa;Pendaftaran SK Hak;01.01.03.04.00163;00018/2013;BH 726749;3/2013;Berkas No. 3/2013 Selesai
42;42;04/01/2013;;TIBANG;Syah Kuala;Sertipikat Pengganti Karena Rusak;01.01.04.02.00121;00007/2013;AU661262;1/2013;Berkas No. 1/2013 Selesai
43;43;04/01/2013;;BLANG OI;Meuraxa;Sertipikat Pengganti Karena Hilang;01.01.03.09.01352;00026/2013;-bh726679;2/2013;Berkas No. 2/2013 Selesai
44;44;04/01/2013;;PEULANGGAHAN;Kuta Raja;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.05.02.01036;00081/2013;BH 726872;6336/2012;Berkas No. 9155/2012 Selesai
45;45;04/01/2013;;PEULANGGAHAN;Kuta Raja;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.05.02.01038;00080/2013;BH 726873;6335/2012;Berkas No. 9154/2012 Selesai
46;46;04/01/2013;;LAMPASEH KOTA;Kuta Raja;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.05.06.02056;00021/2013;BH 726871;6510/2012;Berkas No. 9375/2012 Selesai
47;47;04/01/2013;;LAMGUGOB;Syah Kuala;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.04.05.01082;00061/2013;BH 726633;2948/2012;Berkas No. 4324/2012 Selesai
48;48;04/01/2013;;PEULANGGAHAN;Kuta Raja;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.05.02.01039;00079/2013;BH 726870;6540/2012;Berkas No. 9409/2012 Selesai
49;49;04/01/2013;;EMPEROM;Jaya Baru;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.08.02.02112;00021/2013;BH 686860;2505/2012;Berkas No. 3700/2012 Selesai
50;50;04/01/2013;;EMPEROM;Jaya Baru;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.08.02.02111;00020/2013;BH 686858;2504/2012;Berkas No. 3651/2012 Selesai
51;51;04/01/2013;;GEUCEU KOMPLEK;Banda Raya;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.07.09.02120;00085/2013;BH 726600;5516/2012;Berkas No. 7983/2012 Selesai
52;52;04/01/2013;;RUKOH;Syah Kuala;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.04.09.02202;00060/2013;BH 726863;5578/2012;Berkas No. 8088/2012 Selesai
53;53;04/01/2013;;LAMDINGIN;Kuta Alam;Pendaftaran Tanah Pertama Kali Pengakuan/Penegasan Hak;01.01.01.10.02045;00027/2013;BH 726861;4792/2012;Berkas No. 6933/2012 Selesai
54;54;07/01/2013;;JEULINGKE;Syah Kuala;Peralihan Hak - Jual Beli;;;6547670;101/2013;Berkas No. 165/2013 Selesai
55;55;07/01/2013;;LAMLAGANG;Banda Raya;Peralihan Hak - Lelang;;;AS306065;100/2013;Berkas No. 151/2013 Selesai
56;56;07/01/2013;;LAMTEH;Ulee Kareng;Peralihan Hak - Jual Beli;;;BE668310;99/2013;Berkas No. 164/2013 Selesai
57;57;07/01/2013;;MERDUATI;Kuta Raja;Peralihan Hak - Jual Beli;;;BH630121;97/2013;Berkas No. 162/2013 Selesai
58;58;07/01/2013;;MULIA;Kuta Alam;Peralihan Hak - Jual Beli;;;BH629816;98/2013;Berkas No. 163/2013 Selesai
59;59;07/01/2013;;LAMLAGANG;Banda Raya;Peralihan Hak - Jual Beli;;;6634972;96/2013;Berkas No. 161/2013 Selesai
60;60;07/01/2013;;LUENG BATA;Lueng Bata;Peralihan Hak - Jual Beli;;;BH673272;95/2013;Berkas No. 160/2013 Selesai
61;61;07/01/2013;;COT MESJID;Lueng Bata;Peralihan Hak - Jual Beli;;;BA077839;94/2013;Berkas No. 159/2013 Selesai
