1;1;04/01/2021;00001/2021; ;;Hak Tanggungan;;;;8764/2020;
2;2;04/01/2021;00002/2021; ;;Hak Tanggungan;;;;8765/2020;
3;3;04/01/2021;00003/2021; ;;Hak Tanggungan;;;;8766/2020;
4;4;04/01/2021;01010202102294;PEUNITI;Baiturrahman;Pendaftaran SK Hak;01010202.02385;;;8108/2020;Berkas No.15844/2020 Selesai Diserahkan
5;5;04/01/2021;01010404110376;DEAH RAYA;Syiah Kuala;Pemisahan Bidang;01010404.00955;;;8223/2020;Berkas No.16007/2020 Selesai Diserahkan
6;6;04/01/2021;01010901102825;CEURIH;Ulee Kareng;Pemisahan Bidang;01010901.03369;;;8433/2020;Berkas No.16339/2020 Selesai Diserahkan
7;7;04/01/2021;01010901102826;CEURIH;Ulee Kareng;Pemisahan Bidang;01010901.03370;;;8434/2020;Berkas No.16339/2020 Selesai Diserahkan
8;8;04/01/2021;01010901102827;CEURIH;Ulee Kareng;Pemisahan Bidang;01010901.03371;;;8435/2020;Berkas No.16339/2020 Selesai Diserahkan
9;9;04/01/2021;01010709102382;GEUCEU KOMPLEK;Banda Raya;Penggabungan Bidang;01010709.02715;;;8302/2020;Berkas No.16122/2020 Selesai Diserahkan
10;10;04/01/2021;01010601102269;LUENG BATA;Lueng Bata;Pelepasan Sebagian Hak;01010601.02289;;;8124/2020;Berkas No.15879/2020 Selesai Diserahkan
11;11;04/01/2021;01010309100081;BLANG OI;Meuraxa;Sertipikat Pengganti Karena Hilang;01010309.01813;;;23/2021;Berkas No.59/2021 Selesai Diserahkan
12;12;04/01/2021;01010309100073;BLANG OI;Meuraxa;Sertipikat Pengganti Karena Hilang;01010309.01789;;;31/2021;Berkas No.35/2021 Selesai Diserahkan
13;13;04/01/2021;01010309100077;BLANG OI;Meuraxa;Sertipikat Pengganti Karena Hilang;01010309.01812;;;29/2021;Berkas No.39/2021 Selesai Diserahkan
14;14;04/01/2021;01010102102242; ;;Peralihan Hak - Pewarisan;01010102.02272;;;30/2021;Berkas No.76/2021 Selesai Diserahkan
15;15;04/01/2021;01010103102590; ;;Peralihan Hak - Jual Beli;01010103.02666;;;28/2021;Berkas No.37/2021 Selesai Diserahkan
16;16;04/01/2021;01010703102129; ;;Peralihan Hak - Jual Beli;01010703.02139;;;26/2021;Berkas No.32/2021 Selesai Diserahkan
17;17;04/01/2021;01010703102129; ;;Peralihan Hak - Jual Beli;01010703.02139;;;27/2021;Berkas No.32/2021 Selesai Diserahkan
18;18;04/01/2021;01010904102625; ;;Peralihan Hak - Jual Beli;01010904.02643;;;25/2021;Berkas No.13/2021 Selesai Diserahkan
19;19;04/01/2021;01010706100182; ;;Peralihan Hak - Jual Beli;01010706.00036;;;14/2021;Berkas No.3/2021 Selesai Diserahkan
20;20;04/01/2021;01010106102098; ;;Roya;01010106.01102;;;24/2021;Berkas No.16898/2020 Selesai Diserahkan
21;21;04/01/2021;01010314110528; ;;Peralihan Hak - Jual Beli;01010314.00902;;;13/2021;Berkas No.36/2021 Selesai Diserahkan
22;22;04/01/2021;01010603102272; ;;Peralihan Hak - Pewarisan;01010603.02461;;;9/2021;Berkas No.27/2021 Selesai Diserahkan
23;23;04/01/2021;01010807110302; ;;Peralihan Hak - Hibah;01010807.00749;;;8/2021;Berkas No.10/2021 Selesai Diserahkan
24;24;04/01/2021;01010606102329; ;;Peralihan Hak - Pewarisan;01010606.02339;;;7/2021;Berkas No.18/2021 Selesai Diserahkan
25;25;04/01/2021;01010608102392; ;;Roya;01010608.02426;;;6/2021;Berkas No.20/2021 Selesai Diserahkan
26;26;04/01/2021;01010606102332; ;;Peralihan Hak - Pewarisan;01010606.02341;;;5/2021;Berkas No.15/2021 Selesai Diserahkan
27;27;04/01/2021;01010701102327; ;;Roya;01010701.02335;;;4/2021;Berkas No.14/2021 Selesai Diserahkan
28;28;05/01/2021;00004/2021; ;;Hak Tanggungan;;;;8767/2020;
29;29;05/01/2021;01010401101031; ;;Peralihan Hak - Pewarisan;01010401.11235;;;48/2021;Berkas No.65/2021 Selesai Diserahkan
30;30;05/01/2021;01010601102634; ;;Peralihan Hak - Hibah;01010601.03025;;;46/2021;Berkas No.69/2021 Selesai Diserahkan
31;31;05/01/2021;01010601102635; ;;Peralihan Hak - Hibah;01010601.03026;;;47/2021;Berkas No.79/2021 Selesai Diserahkan
32;32;05/01/2021;01010701102722; ;;Peralihan Hak - Jual Beli;01010701.03276;;;74/2021;Berkas No.49/2021 Selesai Diserahkan
33;33;05/01/2021;01010304300004; ;;Pendaftaran SK Hak;01010304.00731;;;11/2021;
34;34;05/01/2021;01010701102583;LHONG RAYA;Banda Raya;Peralihan Hak - Jual Beli;01010701.02743;;;107/2021;
